"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
34953,5810,8152,22674,12279,9.91624e+12,60.0313,10640.1,34953,3968,72,26801,26801,23331,20037,19228
53643,7577,15518,34257,19386,9.17612e+12,58.6044,18846.2,53643,7537,72,38125,38125,31846,23191,21333
93874,47231,51941,73651,20223,8.0076e+10,8.98701,52535.4,93874,46743,11,41933,41933,38937,39151,38742
29181,4054,6826,18923,10258,9.92221e+12,60.0054,8974.49,29181,3325,72,22355,22355,19049,18272,13608
72201,6272,16776,46824,25377,9.90784e+12,60.1189,21332,72201,8158,72,55425,55425,37579,36318,21199
46598,5417,10866,30218,16380,9.9054e+12,60.0761,14019.9,46598,5286,72,35732,35732,29229,27701,18313
14662,2806,3467,9502,5160,9.87454e+12,59.7723,4715.72,14662,1674,72,11195,11195,10261,9417,9280
40429,13730,16021,25049,15380,7.8079e+12,57.4613,18330.1,40429,7795,72,24408,24408,23253,21740,21462
99944,1172,23232,64814,35130,9.90693e+12,60.1343,29248,99944,11303,72,76712,76712,44624,43974,5025
97158,8343,23850,62783,34375,9.74684e+12,59.935,29633.5,97158,11611,72,73308,73308,52681,37009,27355
56110,20661,27951,33764,22346,6.49588e+12,55.6716,30541.4,56110,13600,72,28159,28159,24483,20219,20207
85927,32130,36334,52830,33097,7.45302e+12,57.0697,40482.3,85927,17687,72,49593,49593,47527,44767,44179
9027,2282,2679,5753,3274,9.18186e+12,58.6407,3486.58,9027,1305,72,6348,6348,5771,5284,5246
41940,31633,39196,28887,13053,9.20309e+12,3.99103,39296.8,41940,13086,9,2744,2744,2216,2744,2223
65000,18320,35890,50992,14008,8.0041e+10,8.98951,36384,65000,32296,11,29110,29110,18179,18894,17483
49467,1486,2094,39156,10311,5.8554e+13,12.0027,2831.84,49467,1555,19,47373,47373,42118,37477,42822
73918,12169,20148,47412,26506,9.39345e+12,59.4853,24585.1,73918,9810,72,53770,53770,44230,43998,32624
2627,193,667,1706,921,9.72794e+12,57.7712,1011.23,2627,312,59,1960,1960,1292,1278,636
75902,7242,27762,47438,28464,8.19795e+12,58.0083,31803,75902,13520,72,48140,48140,26282,14961,10400
67730,9814,16958,43713,24017,9.68165e+12,59.8283,21185.1,67730,8256,72,50772,50772,42804,40919,29399
64347,11182,21623,40553,23794,8.57605e+12,58.4755,25282.4,64347,10528,72,42724,42724,32807,21177,20753
21295,2954,5414,13727,7568,9.67748e+12,59.6392,7050.87,21295,2636,72,15881,15881,13100,9824,9918
15001,3334,5237,9437,5564,8.44e+12,56.2522,6360.24,15001,2530,72,9764,9764,8136,6208,6362
7826,1383,1844,5087,2739,1.00104e+13,59.5327,2617.67,7826,895,72,5982,5982,5432,4761,4681
7822,432,2568,4954,2868,8.7105e+12,57.8003,3273.56,7822,1229,72,5254,5206,2543,1863,1479
78758,29790,41561,46971,31787,6.09866e+12,55.1351,44822.1,78758,20225,72,37197,37197,34134,29901,29115
41158,14605,15674,25618,15540,8.02795e+12,57.7244,18060.3,41158,7636,72,25484,25484,25354,25160,25293
61330,1078,14227,39781,21549,9.93273e+12,60.1226,18192.8,61330,6929,72,47103,47103,27895,18244,4273
94274,10435,30438,59628,34646,8.74425e+12,58.7043,35575.6,94274,14823,72,63836,63836,46919,27008,26258
44387,2709,18794,27288,17099,7.44755e+12,57.0334,21193.5,44387,9143,72,25593,25593,14767,4649,3309
67845,7369,15775,43995,23850,9.91621e+12,60.1167,20093.7,67845,7678,72,52070,52070,41045,39081,24792
29261,1349,8933,18612,10649,8.99306e+12,58.7363,10923.8,29261,4348,72,20328,20328,12521,8044,3069
88677,16852,20588,57514,31163,9.91081e+12,60.1417,26019.1,88677,10023,72,68089,68089,63503,62454,55855
12208,4014,5402,7472,4736,7.25473e+12,54.3068,6257.37,12208,2614,72,6806,6806,5705,4481,4544
35439,5457,17354,27663,7776,7.852e+10,8.99543,17746.6,35439,15614,11,18085,18085,8642,9806,7493
44179,13318,19561,27013,17166,7.20935e+12,56.7328,21883.2,44179,9523,72,24618,24618,21234,17295,17360
64736,7397,21473,40850,23886,8.62978e+12,58.0666,25171.6,64736,10438,72,43263,43263,29092,12404,11781
26444,6409,7914,16836,9608,9.08141e+12,58.9675,9764.64,26444,3854,72,18530,18530,17978,17327,17245
57813,5599,15666,37105,20708,9.41766e+12,59.4774,19280.8,57813,7622,72,42147,42147,29861,29568,14824
98855,32295,36849,61660,37195,8.09791e+12,57.9106,41859.4,98855,17946,72,62006,62006,59282,55519,54853
87673,6370,20359,56855,30818,9.91099e+12,60.1299,25736.1,87673,9903,72,67314,67314,40923,40161,21999
19427,1804,4551,12596,6831,9.90715e+12,59.8661,6104.94,19427,2208,72,14876,14876,10492,10144,6247
93493,28483,34440,58377,35116,8.16145e+12,57.9837,39246.4,93493,16772,72,59053,59053,56287,52514,51792
8213,3889,4066,4958,3255,6.63562e+12,55.4162,4655.91,8213,1978,72,4147,4147,3912,3726,3776
65214,14280,18352,41734,23480,9.27183e+12,59.3252,22305,65214,8925,72,46862,46862,42989,42060,36554
68846,4302,15992,44648,24198,9.92041e+12,60.1284,20366.1,68846,7790,72,52854,52854,35793,35447,14884
96338,11086,31986,60775,35563,8.62762e+12,58.5649,37159.7,96338,15579,72,64352,64352,49807,30893,26390
99288,2447,47491,60077,39211,6.74163e+12,55.8332,51790.6,99288,23120,72,51797,51797,25154,10529,4975
4520,1294,1783,2814,1706,7.91396e+12,56.5412,2221.57,4520,861,72,2737,2737,2269,1721,1935
2031,449,531,1317,714,9.78598e+12,57.159,812.257,2031,253,56,1500,1500,1412,1391,1379
